CHEMICAL REPORT ID,CHEMICAL NAME,CHEMICAL ID,DOMESTIC PARENT COMPANY NAME CLEANED,SITE NAME,SITE ADDRESS LINE1,SITE CITY CLEANED,SITE STATE,ACTIVITY,2019 DOMESTIC PV,2019 IMPORT PV,2019 PV,2018 PV,2017 PV,2016 PV,WORKERS,RECYCLED,INDUSTRIAL TYPE OF PROCESS OR USE OPERATION,IND FUNCT CAT OTHER DESC,Name,CHEMICAL ID W/O DASHES,DOMESTIC PARENT COMPANY NAME,DOMESTIC PC ADDRESS LINE1,DOMESTIC PC ADDRESS LINE2,DOMESTIC PC CITY,DOMESTIC PC COUNTY / PARISH,DOMESTIC PC STATE,DOMESTIC PC POSTAL CODE,DOMESTIC PC DUN & BRADSTREET NUMBER,FOREIGN PARENT COMPANY NAME,FOREIGN PC ADDRESS LINE1,FOREIGN PC ADDRESS LINE2,FOREIGN PC CITY,FOREIGN PC COUNTY / PARISH,FOREIGN PC POSTAL CODE,FOREIGN PC COUNTRY CODE,FOREIGN PC DUN & BRADSTREET NUMBER,SITE ADDRESS LINE2,SITE CITY,SITE COUNTY / PARISH,SITE POSTAL CODE,SITE LATITUDE,SITE LONGITUDE,SITE DUN & BRADSTREET NUMBER,EPA-TSCA PROGRAM ID,EPA FACILITY REGISTRY ID,SITE NAICS CODE 1,SITE NAICS ACTIVITY 1,SITE NAICS CODE 2,SITE NAICS ACTIVITY 2,SITE NAICS CODE 3,SITE NAICS ACTIVITY 3,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV,IMPORTED CHEM NEVER AT SITE,2019 V USED ON-SITE,2019 V EXPORTED,PCT BYP CODE,PERCENT BYPRODUCT,WORKERS CODE,MAX CONC CODE,MAXIMUM CONCENTRATION,PHYSICAL FORM(S),JOINT FC CODE,JOINT FUNCTION CATEGORY,JOINT FUNCT CAT OTHER DESC
708765,"1,2-Benzenedicarboxylic acid, 1,2-diisodecyl ester",26761-40-0,3M COMPANY,3M COMPANY,3M CENTER,ST PAUL,MN,Import,CBI,CBI,CBI,CBI,CBI,CBI,< 10,No,Processing-incorporation into article,,"Di-isodecyl phthalate (DIDP) - (1,2-benzenedicarboxylic acid 1,2-diisodecyl ester)",26761400,3M COMPANY,"3M CENTER, BUILDING 220-6E-03",,ST. PAUL,Ramsey,MN,55144,00-617-3082,,,,,,,,,,ST PAUL,RAMSEY,55144-1000,45.03307,-93.09421,00-617-3082,100604318,110035810799,322220 Paper Bag And Coated And Treated Paper Manufacturing,Import,326113 Unlaminated Plastics Film And Sheet (Except Packaging) Manufacturing,Import,325520 Adhesive Manufacturing,Import,"<1,000,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb",Yes,,0,,,W1,M2,1% - < 30%,Liquid,,,
708799,"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich",68515-49-1,3M COMPANY,3M COMPANY,3M CENTER,ST PAUL,MN,Import,CBI,CBI,CBI,CBI,CBI,CBI,< 10,No,Processing-incorporation into article,,"Di-isodecyl phthalate (DIDP) - (1,2-benzenedicarboxylic acid 1,2-diisodecyl ester)",68515491,3M COMPANY,"3M CENTER, BUILDING 220-6E-03",,ST. PAUL,Ramsey,MN,55144,00-617-3082,,,,,,,,,,ST PAUL,RAMSEY,55144-1000,45.03307,-93.09421,00-617-3082,100604318,110035810799,322220 Paper Bag And Coated And Treated Paper Manufacturing,Import,326113 Unlaminated Plastics Film And Sheet (Except Packaging) Manufacturing,Import,325520 Adhesive Manufacturing,Import,"100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb",Yes,,0,,,W1,M2,1% - < 30%,Liquid,,,
727519,Formaldehyde,50-00-0,AGRIUM U.S. INC.,CBI,CBI,CBI,CBI,Manufacture,"6,512",0,"6,512","6,472","18,960","3,085",100 - 499,No,Use-non-incorporative activities,Byproduct of natural gas combustion,Formaldehyde,50000,Agrium U.S. Inc.,9201 FM 1551,,Borger,Hutchinson,TX,79007,01-889-6290,NUTRIEN LTD,122 - 1st Avenue South,,Saskatoon,,S7K 7G3,CA,20-337-8927,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,0,0,B4,100 percent by weight,W5,NKRA,Not Known or Reasonably Ascertainable,Gas or Vapor,,,
735789,"1,2-Benzenedicarboxylic acid, 1,2-diisodecyl ester",26761-40-0,AKROCHEM CORPORATION,AKROCHEM CORP,4239 HUDSON DR.,STOW,OH,Import,0,"14,585","14,585","29,169",0,0,< 10,No,Processing-incorporation into article,,"Di-isodecyl phthalate (DIDP) - (1,2-benzenedicarboxylic acid 1,2-diisodecyl ester)",26761400,Akrochem Corporation,3770 Embassy Parkway,,Akron,Summit,OH,44333,03-999-8992,,,,,,,,,,STOW,SUMMIT,44224,41.183,-81.47134,03-999-8992,TSCA6296,110000388615,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,"<1,000,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb",No,0,0,B1,0 percent by weight,W1,M3,30% - < 60%,Other Solid,,,
705262,"1,2-Benzenedicarboxylic acid, 1,2-bis(2-ethylhexyl) ester",117-81-7,ALAC INTERNATIONAL INC,ALAC INTERNATIONAL INC.,350 5TH AVE,NEW YORK,NY,Import,0,"112,875","112,875","157,115","326,229","590,833",50 - 99,No,"Processing-incorporation into formulation, mixture, or reaction product",,"Di-ethylhexyl phthalate - (1,2-Benzene- dicarboxylic acid, 1,2- bis(2-ethylhexyl) ester",117817,ALAC International Inc,350 Fifth Avenue,Suite 3015,New York,New York,NY,10118,36-282-4687,,,,,,,,,,NEW YORK,NEW YORK COUNTY,10118,40.748552,-73.985485,36-282-4687,TSCA10050149,110070790140,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers,Import,,,,,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb",Yes,,0,B1,0 percent by weight,W4,M2,1% - < 30%,Liquid,,,
705265,"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,ALAC INTERNATIONAL INC,ALAC INTERNATIONAL INC.,350 5TH AVE,NEW YORK,NY,Import,0,"25,021,453","25,021,453","28,004,412","38,008,448","40,917,000","10,000+",No,Processing-incorporation into article,,"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",28553120,ALAC International Inc,350 Fifth Avenue,Suite 3015,New York,New York,NY,10118,36-282-4687,,,,,,,,,,NEW YORK,NEW YORK COUNTY,10118,40.748552,-73.985485,36-282-4687,TSCA10050149,110070790140,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers,Import,,,,,"50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb",Yes,,0,B1,0 percent by weight,W8,M3,30% - < 60%,Liquid,,,
705265,"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,ALAC INTERNATIONAL INC,ALAC INTERNATIONAL INC.,350 5TH AVE,NEW YORK,NY,Import,0,"25,021,453","25,021,453","28,004,412","38,008,448","40,917,000","10,000+",No,"Processing-incorporation into formulation, mixture, or reaction product",,"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",28553120,ALAC International Inc,350 Fifth Avenue,Suite 3015,New York,New York,NY,10118,36-282-4687,,,,,,,,,,NEW YORK,NEW YORK COUNTY,10118,40.748552,-73.985485,36-282-4687,TSCA10050149,110070790140,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers,Import,,,,,"50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb",Yes,,0,B1,0 percent by weight,W8,M3,30% - < 60%,Liquid,,,
705265,"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,ALAC INTERNATIONAL INC,ALAC INTERNATIONAL INC.,350 5TH AVE,NEW YORK,NY,Import,0,"25,021,453","25,021,453","28,004,412","38,008,448","40,917,000","10,000+",No,"Processing-incorporation into formulation, mixture, or reaction product",,"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",28553120,ALAC International Inc,350 Fifth Avenue,Suite 3015,New York,New York,NY,10118,36-282-4687,,,,,,,,,,NEW YORK,NEW YORK COUNTY,10118,40.748552,-73.985485,36-282-4687,TSCA10050149,110070790140,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers,Import,,,,,"50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb",Yes,,0,B1,0 percent by weight,W8,M3,30% - < 60%,Liquid,,,
705265,"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,ALAC INTERNATIONAL INC,ALAC INTERNATIONAL INC.,350 5TH AVE,NEW YORK,NY,Import,0,"25,021,453","25,021,453","28,004,412","38,008,448","40,917,000","10,000+",No,"Processing-incorporation into formulation, mixture, or reaction product",,"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",28553120,ALAC International Inc,350 Fifth Avenue,Suite 3015,New York,New York,NY,10118,36-282-4687,,,,,,,,,,NEW YORK,NEW YORK COUNTY,10118,40.748552,-73.985485,36-282-4687,TSCA10050149,110070790140,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers,Import,,,,,"50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb",Yes,,0,B1,0 percent by weight,W8,M3,30% - < 60%,Liquid,,,
705265,"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,ALAC INTERNATIONAL INC,ALAC INTERNATIONAL INC.,350 5TH AVE,NEW YORK,NY,Import,0,"25,021,453","25,021,453","28,004,412","38,008,448","40,917,000","10,000+",No,Processing-incorporation into article,,"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",28553120,ALAC International Inc,350 Fifth Avenue,Suite 3015,New York,New York,NY,10118,36-282-4687,,,,,,,,,,NEW YORK,NEW YORK COUNTY,10118,40.748552,-73.985485,36-282-4687,TSCA10050149,110070790140,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers,Import,,,,,"50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb",Yes,,0,B1,0 percent by weight,W8,M3,30% - < 60%,Liquid,,,
