CHEMICAL_REPORT_ID,CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,DOMESTIC PARENT COMPANY NAME,DOMESTIC PC ADDRESS LINE1,DOMESTIC PC ADDRESS LINE2,DOMESTIC PC CITY,DOMESTIC PC COUNTY / PARISH,DOMESTIC PC STATE,DOMESTIC PC POSTAL CODE,DOMESTIC PC DUN & BRADSTREET NUMBER,FOREIGN PARENT COMPANY NAME,FOREIGN PC ADDRESS LINE1,FOREIGN PC ADDRESS LINE2,FOREIGN PC CITY,FOREIGN PC COUNTY / PARISH,FOREIGN PC POSTAL CODE,FOREIGN PC COUNTRY CODE,FOREIGN PC DUN & BRADSTREET NUMBER,SITE NAME,SITE ADDRESS LINE1,SITE ADDRESS LINE2,SITE CITY,SITE COUNTY / PARISH,SITE STATE,SITE POSTAL CODE,SITE LATITUDE,SITE LONGITUDE,SITE DUN & BRADSTREET NUMBER,EPA-TSCA PROGRAM ID,EPA FACILITY REGISTRY ID,SITE NAICS CODE 1,SITE NAICS ACTIVITY 1,SITE NAICS CODE 2,SITE NAICS ACTIVITY 2,SITE NAICS CODE 3,SITE NAICS ACTIVITY 3,ACTIVITY,2019 DOMESTIC PV,2019 IMPORT PV,2019 PV,2018 PV,2017 PV,2016 PV,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV,IMPORTED CHEM NEVER AT SITE,2019 V USED ON-SITE,2019 V EXPORTED,PCT BYP CODE,PERCENT BYPRODUCT,WORKERS CODE,WORKERS,MAX CONC CODE,MAXIMUM CONCENTRATION,RECYCLED,PHYSICAL FORM(S),C / C PROD CAT CODE,CONSUMER / COMMERCIAL PRODUCT CATEGORY,CONS / COMM PROD CAT OTHER DESC,C / C FC CODE,CONS / COMM FUNCTION CATEGORY,CONS / COMM FUNCT CAT OTHER DESC,JOINT FC CODE,JOINT FUNCTION CATEGORY,JOINT FUNCT CAT OTHER DESC,CONS OR COMM USE,USED IN PROD FOR CHILDREN,C / C PV PCT,C / C MAX CONC CODE,C / C MAXIMUM CONCENTRATION,COMM WORKERS CODE,COMMERCIAL WORKERS,Name
703707,"Benzene, 1,4-dichloro-",106-46-7,106467,CASRN,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,Import,0,"4,445,576","4,445,576","3,293,672","3,960,564","5,349,462","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb",No,"4,400,000",0,B1,0 percent by weight,W4,50 - 99,M5,90% +,Yes,Pellets or Large Crystals,CC131,Continuous action air fresheners,,F042,Deodorizer,,,,,Consumer,No,100,M5,90% +,W4,50 - 99,Dichlorobenzene
706920,"Benzene, 1,4-dichloro-",106-46-7,106467,CASRN,CELANESE,222 W. Las Colinas Blvd.,Suite 900N,Irving,Dallas,TX,75039,17-020-4486,,,,,,,,,FORTRON INDUSTRIES,4600 HIGHWAY 421 NORTH,,WILMINGTON,NEW HANOVER,NC,28402,34.3138,-77.9801,80-904-4043,TSCA7269,110009842536,325199 All Other Basic Organic Chemical Manufacturing,Both,,,,,Import,CBI,CBI,CBI,CBI,CBI,CBI,"100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb",No,CBI,CBI,B1,0 percent by weight,W3,25 - 49,M5,90% +,No,Pellets or Large Crystals,CC303,"Packaging (excluding food packaging), including rubber articles; plastic articles (hard); plastic articles (soft)",,F052,Plasticizer,,,,,Both,No,50,M5,90% +,NKRA,Not Known or Reasonably Ascertainable,Dichlorobenzene
706920,"Benzene, 1,4-dichloro-",106-46-7,106467,CASRN,CELANESE,222 W. Las Colinas Blvd.,Suite 900N,Irving,Dallas,TX,75039,17-020-4486,,,,,,,,,FORTRON INDUSTRIES,4600 HIGHWAY 421 NORTH,,WILMINGTON,NEW HANOVER,NC,28402,34.3138,-77.9801,80-904-4043,TSCA7269,110009842536,325199 All Other Basic Organic Chemical Manufacturing,Both,,,,,Import,CBI,CBI,CBI,CBI,CBI,CBI,"100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb",No,CBI,CBI,B1,0 percent by weight,W3,25 - 49,M5,90% +,No,Pellets or Large Crystals,CC219,"Machinery, mechanical appliances, electrical/electronic articles",,F052,Plasticizer,,,,,Both,No,50,M5,90% +,NKRA,Not Known or Reasonably Ascertainable,Dichlorobenzene
707003,"Benzene, 1,4-dichloro-",106-46-7,106467,CASRN,LANXESS CORPORATION,111 RIDC PARK WEST DRIVE,,PITTSBURGH,Allegheny,PA,15275,14-585-8770,LANXESS DEUTSCHLAND GMBH,Kennedyplatz 1,,Koln,,50569,GM,31-546-4482,LANXESS CORPORATION---PITTSBURGH,111 RIDC PARK WEST DR,,PITTSBURGH,ALLEGHENY COUNTY,PA,15275-1112,40.457483,-80.193314,14-585-8770,100606790,110023859083,325130 Synthetic Dye And Pigment Manufacturing,Import,325199 All Other Basic Organic Chemical Manufacturing,Import,,,Import,0,"45,330,117","45,330,117","52,703,207","49,377,315","37,927,958","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb",Yes,,0,B1,0 percent by weight,W1,< 10,M5,90% +,No,Other Solid,,,,,,,,,,,,,,,,,Dichlorobenzene
711389,"Benzene, 1,4-dichloro-",106-46-7,106467,CASRN,Solvay Holding Inc.,504 Carnegie Center,,Princeton,Mercer,NJ,8540,87-474-8937,SOLVAY S A,"RUE DE RANSBEEK, 310",,Brussels,,1120,BE,37-000-9086,"SOLVAY SPECIALTY POLYMERS USA, LLC",4500 MCGINNIS FERRY RD,,ALPHARETTA,FORSYTH COUNTY,GA,30005,34.10247,-84.21736,09-473-1705,TSCA88707,110000856540,325211 Plastics Material And Resin Manufacturing,,,,,,Import,CBI,CBI,CBI,CBI,CBI,CBI,"100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb",Yes,0,0,B1,0 percent by weight,W1,< 10,M5,90% +,No,Other Solid,,,,,,,,,,,,,,,,,Dichlorobenzene
714090,"Benzene, 1,4-dichloro-",106-46-7,106467,CASRN,MARUBENI AMERICA CORPORATION,375 LEXINGTON AVENUE,,NEW YORK,US,NY,10017-5644,00-167-0876,MARUBENI CORP,Tokyo Nihombashi Tower,"7-1, Nihonbashi 2-chome, Chuo-ku",Tokyo,,103-6060,JA,69-054-1263,HOUSTON BRANCH,2800 POST OAK BLVD,,HOUSTON,HARRIS COUNTY,TX,77056,29.73606,-95.46069,00-185-3563,TSCA5005,110056965137,424990 Other Miscellaneous Nondurable Goods Merchant Wholesalers,Import,,,,,Import,0,"1,436,297","1,436,297","357,145","1,309,422",0,"100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb",Yes,,0,B1,0 percent by weight,W2,10 - 24,M5,90% +,No,Pellets or Large Crystals,,,,,,,,,,,,,,,,,Dichlorobenzene
714486,"Ethane, 1,2-dibromo-",106-93-4,106934,CASRN,INNOSPEC INC,"8310 S Valley Hwy, Suite 350",,Englewood,Arapahoe,CO,80112,04-200-6515,,,,,,,,,"INNOSPEC FUEL SPECIALTIES, LLC",8310 S VALLEY HWY RD,SUITE 350,ENGLEWOOD,ARAPAHOE COUNTY,CO,80112,39.565156,-104.869507,04-200-6515,TSCA128181,110069618462,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,Import,0,"350,000","350,000","410,000","510,000","520,000","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb",CBI,0,0,B1,0 percent by weight,W1,< 10,M3,30% - < 60%,No,Liquid,,,,,,,,,,,,,,,,,Ethylene dibromide
718072,"Ethane, 1,2-dibromo-",106-93-4,106934,CASRN,NewMarket Corporation,330 S 4TH STREET,,RICHMOND,City of Richmond,VA,23219,15-222-7067,,,,,,,,,ETHYL CORP,330 S FOURTH ST,,RICHMOND,RICHMOND COUNTY,VA,23219-4304,37.53774,-77.4443,00-313-2222,200001774,110005218780,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing,Import,,,,,Import,CBI,CBI,CBI,CBI,CBI,CBI,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb",Yes,,0,B1,0 percent by weight,W1,< 10,M3,30% - < 60%,No,Liquid,CC414,Fuel additives,,F030,Fuel agents,,,,,Commercial,No,100,M1,< 1%,W6,500 - 999,Ethylene dibromide
700428,"1,3-Butadiene",106-99-0,106990,CASRN,Bridgestone Procurement Holdings USA,381 W. Wilbeth Road,,Akron,Summit,OH,44301,08-040-8959,,,,,,,,,FIRESTONE POLYMERS LLC,5713 FM RD 1006,,ORANGE,ORANGE COUNTY,TX,77630,30.049444,-93.786389,02-621-1033,TSCA7973,110000506160,325212 Synthetic Rubber Manufacturing,,,,,,Manufacture,"9,926",0,"9,926","16,232","19,449","12,988","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,"9,926",0,B4,100 percent by weight,W5,100 - 499,NKRA,Not Known or Reasonably Ascertainable,Yes,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
704885,"1,3-Butadiene",106-99-0,106990,CASRN,Michelin North America,One Parkway South,,Greenville,Greenville,SC,29615,06-505-2011,,,,,,,,,AMERICAN SYNTHETIC RUBBER CO,4500 CAMPGROUND ROAD,,LOUISVILLE,JEFFERSON,KY,40216-4608,38.209317,-85.847511,00-638-2857,TSCA8473,110000378546,325212 Synthetic Rubber Manufacturing,Import,,,,,,0,0,0,"4,398,177","15,526,998","19,085,222","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,,,B1,0 percent by weight,W5,100 - 499,NKRA,Not Known or Reasonably Ascertainable,NKRA,,,,,,,,,,,,,,,,,,"1,3-Butadiene"
