CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV,Name
"Benzene, 1,4-dichloro-",106-46-7,106467,CASRN,"100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb",Dichlorobenzene
"Ethane, 1,2-dibromo-",106-93-4,106934,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb",Ethylene dibromide
"1,3-Butadiene",106-99-0,106990,CASRN,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,3-Butadiene"
"Ethane, 1,2-dichloro-",107-06-2,107062,CASRN,"30,000,000,000 - <40,000,000,000 lb","30,000,000,000 - <40,000,000,000 lb","30,000,000,000 - <40,000,000,000 lb","30,000,000,000 - <40,000,000,000 lb","1,2-Dichloroethane"
"Phosphoric acid, triphenyl ester",115-86-6,115866,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 lb - <20,000,000 lb","Phosphoric acid, triphenyl ester (TPP)"
"1,2-Benzenedicarboxylic acid, 1,2-bis(2-ethylhexyl) ester",117-81-7,117817,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","Di-ethylhexyl phthalate - (1,2-Benzene- dicarboxylic acid, 1,2- bis(2-ethylhexyl) ester"
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-",1222-05-5,1222055,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta [g]-2-benzopyran (HHCB)"
"Ethene, 1,2-dichloro-, (1E)-",156-60-5,156605,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb","trans-1,2- Dichloroethylene"
"1,2-Benzenedicarboxylic acid, 1,2-diisodecyl ester",26761-40-0,26761400,CASRN,"<1,000,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","Di-isodecyl phthalate (DIDP) - (1,2-benzenedicarboxylic acid 1,2-diisodecyl ester)"
"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,28553120,CASRN,"50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)"
